latitude,longitude,rh_mean,temp_mean,ghi_mean,rh_swing_max,temp_swing_mean
-25.0,15.0,51.89771689497717,20.12478310502283,273.98892694063926,80.0,11.716438356164383
-25.0,25.0,44.23858447488585,20.42579908675799,253.66826484018264,80.0,13.923013698630138
-25.0,35.0,75.65947488584474,24.205730593607306,231.97374429223746,35.0,1.7734246575342467
-25.0,45.0,67.68367579908676,25.071712328767124,232.8599315068493,90.0,12.35095890410959
-25.0,55.0,74.00810502283105,23.718573059360732,232.27237442922373,33.0,1.6095890410958904
-25.0,65.0,75.04155251141553,23.47792237442922,228.18915525114156,33.0,1.5643835616438355
-25.0,75.0,74.35833333333333,22.752602739726026,236.71860730593608,30.0,1.4197260273972605
-25.0,85.0,74.53698630136986,21.519577625570776,239.72237442922375,30.0,1.355068493150685
-25.0,95.0,73.91232876712328,20.60552511415525,237.04965753424656,33.0,1.384109589041096
-25.0,105.0,73.3634703196347,20.722408675799084,232.7288812785388,34.0,1.2950684931506848
-25.0,115.0,40.082191780821915,25.32713470319635,261.57705479452056,90.0,14.811780821917809
-25.0,125.0,29.964726027397262,24.893584474885845,258.40479452054797,68.0,12.999178082191781
-25.0,135.0,35.733561643835614,23.39997716894977,255.90456621004566,75.0,13.925479452054795
-25.0,145.0,43.646118721461185,23.170445205479453,245.46061643835617,70.0,12.24739726027397
-25.0,155.0,69.12659817351599,23.207602739726024,235.38070776255708,43.0,1.4917808219178081
-25.0,165.0,71.72899543378995,22.188938356164385,237.26130136986302,30.0,1.2852054794520549
-25.0,175.0,73.49840182648401,22.396187214611874,224.6585616438356,40.0,1.4082191780821918
-15.0,-175.0,78.59349315068494,27.23829908675799,233.70148401826484,24.0,1.7695890410958908
-15.0,-165.0,77.74303652968037,27.168664383561644,234.0818493150685,29.0,1.7816438356164381
-15.0,-155.0,77.26392694063927,27.00197488584475,236.98938356164385,25.0,1.733698630136986
-15.0,-145.0,76.08767123287672,26.84345890410959,249.80445205479452,26.0,1.7326027397260273
-15.0,-135.0,74.96415525114155,26.25181506849315,259.5986301369863,30.0,1.4657534246575343
-15.0,-125.0,74.83926940639269,25.314075342465753,262.6063926940639,26.0,1.3501369863013697
-15.0,-115.0,75.81107305936074,24.206792237442922,260.7673515981735,29.0,1.3356164383561644
